"id","时间点","快速路均速历史值","name","快速路均速","实时和历史趋势","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27"
"118","2019/1/12 0:26","40.52","临安大队","41.23","[{""y"":43.53","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:37.98","s:""2""}","{""y"":42.09","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:43.36","s:""2""}","{""y"":41.85","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:42.97","s:""2""}","{""y"":41.02","x:""00:06:00""","s:""1""}","{""x"":""00:"
"119","2019/1/12 0:26","44.69","富阳大队","45.34","[{""y"":41.59","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:34.53","s:""2""}","{""y"":41.31","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:40.01","s:""2""}","{""y"":41.55","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:32.89","s:""2""}","{""y"":41.75","x:""00:06:00""","s:""1""}","{""x"":""00:"
"12","2019/1/12 0:06","46.76","大江东大队","47.05","[{""y"":47.21","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:46.46","s:""2""}","{""y"":47.5","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:47.48","s:""2""}","{""y"":47.01","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:47.41","s:""2""}","{""y"":46.76","x:""00:06:00""","s:""1""}","{""x"":""00:0"
"120","2019/1/12 0:26","36.5","建德大队","35.7","[{""y"":36.11","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:35.36","s:""2""}","{""y"":36.25","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:36.38","s:""2""}","{""y"":36.37","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:35.85","s:""2""}","{""y"":36.09","x:""00:06:00""","s:""1""}","{""x"":""00:"
"121","2019/1/12 0:26","33.62","滨江大队","32.85","[{""y"":33.38","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:33.22","s:""2""}","{""y"":33.38","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:33.44","s:""2""}","{""y"":33.42","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:33.42","s:""2""}","{""y"":33.33","x:""00:06:00""","s:""1""}","{""x"":""00:"
"122","2019/1/12 0:26","40.39","萧山大队","38.81","[{""y"":39.77","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:39.01","s:""2""}","{""y"":39.34","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:38.8","s:""2""}","{""y"":39.57","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:38.82","s:""2""}","{""y"":39.87","x:""00:06:00""","s:""1""}","{""x"":""00:0"
"123","2019/1/12 0:28","33.74","滨江大队","33.38","[{""y"":33.38","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:33.22","s:""2""}","{""y"":33.38","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:33.44","s:""2""}","{""y"":33.42","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:33.42","s:""2""}","{""y"":33.33","x:""00:06:00""","s:""1""}","{""x"":""00:"
"124","2019/1/12 0:28","40.36","萧山大队","38.34","[{""y"":39.77","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:39.01","s:""2""}","{""y"":39.34","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:38.8","s:""2""}","{""y"":39.57","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:38.82","s:""2""}","{""y"":39.87","x:""00:06:00""","s:""1""}","{""x"":""00:0"
"125","2019/1/12 0:30","28.88","上城大队","30.17","[{""y"":28.65","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:28.86","s:""2""}","{""y"":28.44","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:29.54","s:""2""}","{""y"":28.39","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:28.92","s:""2""}","{""y"":28.41","x:""00:06:00""","s:""1""}","{""x"":""00:"
"126","2019/1/12 0:30","30.86","主城区","31.72","[{""y"":30.45","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:30.92","s:""2""}","{""y"":30.44","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:31.2","s:""2""}","{""y"":30.48","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:31.06","s:""2""}","{""y"":30.49","x:""00:06:00""","s:""1""}","{""x"":""00:0"
